country,continent,year,life_expectancy,hdi,co2_per_capita,gdp_per_capita,service_workers_pct
Slovenia,Europe,2018,81.4,0.912,6.95,23500.0,61.2
Solomon Islands,Oceania,2018,59.0,0.564,0.273,2320.0,50.5
South Africa,Africa,2018,64.4,0.707,8.1,5640.0,71.7
South Korea,Asia,2018,82.9,0.914,12.9,31000.0,69.8
South Sudan,Africa,2018,63.0,0.429,0.171,,22.8
Spain,Europe,2018,83.1,0.905,5.75,27700.0,75.5
Sri Lanka,Asia,2018,77.2,0.779,1.1,4160.0,46.6
St. Lucia,North America,2018,75.1,0.758,2.31,11000.0,74.4
St. Vincent and the Grenadines,North America,2018,72.8,0.736,2.03,7210.0,70.1
Sudan,Africa,2018,70.1,0.506,0.504,2100.0,43.8
Suriname,South America,2018,72.6,0.734,3.1,9020.0,67.6
Sweden,Europe,2018,82.7,0.943,4.12,53000.0,80.1
Switzerland,Europe,2018,83.9,0.955,4.33,88000.0,76.5
Tajikistan,Asia,2018,69.2,0.661,0.603,1120.0,38.8
Tanzania,Africa,2018,66.7,0.524,0.222,959.0,27.9
Thailand,Asia,2018,78.3,0.772,4.15,6490.0,45.1
Timor-Leste,Asia,2018,70.5,0.599,0.412,1230.0,45.1
Togo,Africa,2018,64.5,0.51,0.434,613.0,47.4
Tonga,Oceania,2018,72.9,0.723,1.31,4680.0,49.9
Trinidad and Tobago,North America,2018,74.8,0.795,31.3,16500.0,70.0
Tunisia,Africa,2018,77.5,0.738,2.73,3950.0,52.3
Turkey,Asia,2018,78.1,0.817,5.2,12000.0,54.9
Turkmenistan,Asia,2018,70.6,0.71,13.7,7350.0,38.9
Uganda,Africa,2018,65.7,0.538,0.135,872.0,21.0
Ukraine,Europe,2018,73.9,0.774,5.09,3110.0,61.0
United Arab Emirates,Asia,2018,73.7,0.889,21.4,39700.0,63.9
United Kingdom,Europe,2018,81.0,0.928,5.65,46200.0,80.8
United States,North America,2018,79.0,0.925,16.6,59800.0,78.8
Uruguay,South America,2018,77.5,0.816,2.01,16000.0,72.4
Uzbekistan,Asia,2018,68.1,0.717,2.81,2900.0,50.6
Vanuatu,Oceania,2018,65.3,0.603,0.529,2860.0,29.0
Vietnam,Asia,2018,74.3,0.7,2.16,2460.0,34.7
Yemen,Asia,2018,66.1,0.468,0.356,1290.0,61.5
Zambia,Africa,2018,62.5,0.582,0.302,1370.0,39.3
Zimbabwe,Africa,2018,60.6,0.569,0.85,1510.0,27.2
